Age,Experience_Years,Education_Years,Hours_Per_Week,Projects_Completed,Salary
27.0,7.0,12.0,47.0,9.0,146881.0
40.0,3.0,15.0,37.0,9.0,136491.0
35.0,1.0,18.0,49.0,,137390.0
,13.0,14.0,50.0,9.0,173253.0
28.0,5.0,14.0,41.0,3.0,121586.0
27.0,5.0,,35.0,7.0,124791.0
39.0,9.0,14.0,38.0,6.0,159069.0
31.0,,14.0,47.0,8.0,135705.0
31.0,5.0,12.0,50.0,9.0,141518.0
24.0,12.0,14.0,38.0,5.0,151488.0
28.0,14.0,16.0,48.0,1.0,164391.0
23.0,1.0,13.0,,3.0,97943.0
22.0,9.0,18.0,41.0,10.0,153519.0
32.0,11.0,13.0,41.0,8.0,162283.0
26.0,1.0,12.0,47.0,,118940.0
22.0,9.0,15.0,49.0,8.0,141252.0
21.0,13.0,18.0,45.0,9.0,173310.0
,3.0,12.0,47.0,4.0,128232.0
32.0,13.0,15.0,38.0,1.0,145112.0
37.0,14.0,,47.0,1.0,164186.0
30.0,15.0,12.0,50.0,10.0,189462.0
36.0,14.0,18.0,41.0,4.0,172282.0
35.0,,18.0,45.0,7.0,152172.0
35.0,13.0,17.0,37.0,2.0,153688.0
39.0,6.0,16.0,40.0,3.0,137765.0
32.0,11.0,14.0,,1.0,149589.0
40.0,8.0,15.0,36.0,5.0,144714.0
23.0,13.0,17.0,44.0,1.0,154508.0
25.0,7.0,,47.0,8.0,144365.0
39.0,4.0,14.0,48.0,1.0,130803.0
27.0,15.0,12.0,43.0,1.0,156724.0
,12.0,14.0,39.0,2.0,139676.0
27.0,1.0,16.0,40.0,2.0,110144.0
38.0,14.0,18.0,46.0,,181129.0
24.0,4.0,17.0,46.0,7.0,140803.0
34.0,7.0,14.0,46.0,5.0,142766.0
38.0,,12.0,46.0,1.0,144565.0
29.0,8.0,16.0,38.0,1.0,137013.0
22.0,11.0,13.0,48.0,3.0,135851.0
40.0,11.0,18.0,,2.0,170343.0
35.0,11.0,18.0,45.0,5.0,159973.0
27.0,12.0,,50.0,10.0,171030.0
32.0,8.0,18.0,44.0,,139203.0
28.0,12.0,14.0,41.0,7.0,153084.0
,14.0,12.0,46.0,4.0,163276.0
23.0,12.0,18.0,43.0,7.0,160683.0
34.0,0.0,18.0,,8.0,126387.0
37.0,8.0,13.0,48.0,1.0,135138.0
24.0,,13.0,35.0,6.0,128236.0
38.0,8.0,15.0,35.0,8.0,153492.0
